dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI-DimMatch,B,M3 H0 Hyper,42,V missing,0.5,23,413441,0.6514956136895758,0.6112729570506978,2026-09-05 14:56:53
MOSEI-DimMatch,B,M3 H0 Hyper,42,T+A missing,0.5,23,413441,0.8059071661231778,0.22824802786089465,2026-09-05 14:56:53
MOSEI-DimMatch,B,M3 H0 Hyper,42,T+V missing,0.5,23,413441,0.8207975659268334,0.17659082248313637,2026-09-05 14:56:54
MOSEI-DimMatch,B,M3 H0 Hyper,42,A+V missing,0.5,23,413441,0.6552300812389971,0.6062506285544494,2026-09-05 14:56:55
MOSEI-B3,A,H0 (w/o cons),42,None,0.0,25,434945,0.6537208662248457,0.6069862188096948,2026-09-05 15:59:06
MOSEI-B3,A,H0 (w/o cons),42,T missing,0.0,25,434945,0.814931376872447,0.2546482924316827,2026-09-05 15:59:08
MOSEI-B3,A,H0 (w/o cons),42,A missing,0.0,25,434945,0.776884981398033,0.47015854705936605,2026-09-05 15:59:08
MOSEI-B3,A,H0 (w/o cons),42,V missing,0.0,25,434945,0.6689077864256169,0.5655253084294876,2026-09-05 15:59:09
MOSEI-B3,A,H0 (w/o cons),42,T+A missing,0.0,25,434945,0.8420645079552211,0.011094746144579568,2026-09-05 15:59:10
MOSEI-B3,A,H0 (w/o cons),42,T+V missing,0.0,25,434945,0.8193497074550662,0.16315589734138158,2026-09-05 15:59:11
MOSEI-B3,A,H0 (w/o cons),42,A+V missing,0.0,25,434945,0.7805539968020818,0.3920730706916981,2026-09-05 15:59:12
MOSEI-B3,B,H0 (w/o cons),42,None,0.5,22,434945,0.6591024988108952,0.6017551351444713,2026-09-05 15:59:13
MOSEI-B3,B,H0 (w/o cons),42,T missing,0.5,22,434945,0.8001293935633235,0.2469606499169577,2026-09-05 15:59:14
MOSEI-B3,B,H0 (w/o cons),42,A missing,0.5,22,434945,0.6595772029023893,0.6000232404224769,2026-09-05 15:59:15
MOSEI-B3,B,H0 (w/o cons),42,V missing,0.5,22,434945,0.6572085812630908,0.608963657230307,2026-09-05 15:59:16
MOSEI-B3,B,H0 (w/o cons),42,T+A missing,0.5,22,434945,0.8048502428437785,0.22916463860291605,2026-09-05 15:59:17
MOSEI-B3,B,H0 (w/o cons),42,T+V missing,0.5,22,434945,0.8296296937090433,0.13880562877787345,2026-09-05 15:59:18
MOSEI-B3,B,H0 (w/o cons),42,A+V missing,0.5,22,434945,0.6581771769596979,0.6043202613420489,2026-09-05 15:59:19
MOSEI-B3,A,H0+cons λ=0.01,42,None,0.0,29,434945,0.837642493793969,0.0,2026-09-05 16:10:41
MOSEI-B3,A,H0+cons λ=0.01,42,T missing,0.0,29,434945,0.8376424937653792,0.00517528702558593,2026-09-05 16:10:42
MOSEI-B3,A,H0+cons λ=0.01,42,A missing,0.0,29,434945,0.8376425079059294,-0.025660590346009555,2026-09-05 16:10:43
MOSEI-B3,A,H0+cons λ=0.01,42,V missing,0.0,29,434945,0.837642493793969,0.0,2026-09-05 16:10:44
MOSEI-B3,A,H0+cons λ=0.01,42,T+A missing,0.0,29,434945,0.837582779324646,0.02819197458026828,2026-09-05 16:10:45
MOSEI-B3,A,H0+cons λ=0.01,42,T+V missing,0.0,29,434945,0.8376424937529068,0.021621293776815622,2026-09-05 16:10:46
MOSEI-B3,A,H0+cons λ=0.01,42,A+V missing,0.0,29,434945,0.837642493837396,-0.0016975249402036022,2026-09-05 16:10:47
MOSEI-B3,B,H0+cons λ=0.01,42,None,0.5,30,434945,0.6656408938207204,0.5951919412375547,2026-09-05 16:10:48
MOSEI-B3,B,H0+cons λ=0.01,42,T missing,0.5,30,434945,0.8081430107171744,0.2006401881462371,2026-09-05 16:10:49
MOSEI-B3,B,H0+cons λ=0.01,42,A missing,0.5,30,434945,0.6529353638113657,0.5991333879801715,2026-09-05 16:10:50
MOSEI-B3,B,H0+cons λ=0.01,42,V missing,0.5,30,434945,0.6785082667948557,0.5851667060524455,2026-09-05 16:10:52
MOSEI-B3,B,H0+cons λ=0.01,42,T+A missing,0.5,30,434945,0.8120003806562404,0.21606133394261673,2026-09-05 16:10:53
MOSEI-B3,B,H0+cons λ=0.01,42,T+V missing,0.5,30,434945,0.8316315349718895,0.13649144614130326,2026-09-05 16:10:54
MOSEI-B3,B,H0+cons λ=0.01,42,A+V missing,0.5,30,434945,0.6642657705776802,0.5836876914936666,2026-09-05 16:10:55
MOSEI-B3,A,H0+cons λ=0.05,42,None,0.0,18,434945,0.837645060199297,0.0,2026-09-05 16:22:38
