timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/15 18:47:33.647, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 54, 115.76 W
2026/09/15 18:47:38.649, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 64, 336.73 W
2026/09/15 18:47:43.651, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 192.24 W
2026/09/15 18:47:48.652, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 118.20 W
2026/09/15 18:47:53.675, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 56, 117.06 W
2026/09/15 18:47:58.717, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 61, 200.93 W
2026/09/15 18:48:03.719, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 335.63 W
2026/09/15 18:48:08.720, NVIDIA GeForce RTX 3090, 42 %, 13588 MiB, 24576 MiB, 64, 274.57 W
2026/09/15 18:48:13.721, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 336.64 W
2026/09/15 18:48:18.723, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 64, 189.14 W
2026/09/15 18:48:23.724, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 335.44 W
2026/09/15 18:48:28.725, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 336.54 W
2026/09/15 18:48:33.726, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 67, 296.88 W
2026/09/15 18:48:38.727, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 336.35 W
2026/09/15 18:48:43.747, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 64, 278.60 W
2026/09/15 18:48:48.748, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 69, 334.66 W
2026/09/15 18:48:53.749, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 64, 198.90 W
2026/09/15 18:48:58.750, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 334.78 W
2026/09/15 18:49:03.751, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 339.38 W
2026/09/15 18:49:08.753, NVIDIA GeForce RTX 3090, 74 %, 13588 MiB, 24576 MiB, 66, 256.94 W
2026/09/15 18:49:13.754, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 335.99 W
2026/09/15 18:49:18.755, NVIDIA GeForce RTX 3090, 93 %, 13588 MiB, 24576 MiB, 68, 253.54 W
2026/09/15 18:49:23.757, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 337.53 W
2026/09/15 18:49:28.758, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 64, 209.43 W
2026/09/15 18:49:33.759, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 336.71 W
2026/09/15 18:49:38.760, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 336.79 W
2026/09/15 18:49:43.762, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 281.95 W
2026/09/15 18:49:48.763, NVIDIA GeForce RTX 3090, 92 %, 13588 MiB, 24576 MiB, 70, 337.82 W
2026/09/15 18:49:53.765, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 69, 269.57 W
2026/09/15 18:49:58.765, NVIDIA GeForce RTX 3090, 98 %, 13588 MiB, 24576 MiB, 70, 339.98 W
2026/09/15 18:50:03.767, NVIDIA GeForce RTX 3090, 98 %, 13588 MiB, 24576 MiB, 68, 199.41 W
2026/09/15 18:50:08.768, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 70, 336.33 W
2026/09/15 18:50:13.769, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 335.26 W
2026/09/15 18:50:18.770, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 317.12 W
2026/09/15 18:50:23.771, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 334.75 W
2026/09/15 18:50:28.772, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 69, 278.48 W
2026/09/15 18:50:33.774, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 70, 337.15 W
2026/09/15 18:50:38.776, NVIDIA GeForce RTX 3090, 40 %, 13588 MiB, 24576 MiB, 67, 198.06 W
2026/09/15 18:50:43.778, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 334.13 W
2026/09/15 18:50:48.781, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 337.52 W
2026/09/15 18:50:53.783, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 281.11 W
2026/09/15 18:50:58.785, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 70, 339.91 W
2026/09/15 18:51:03.788, NVIDIA GeForce RTX 3090, 13 %, 13588 MiB, 24576 MiB, 66, 280.17 W
2026/09/15 18:51:08.790, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 339.86 W
2026/09/15 18:51:13.792, NVIDIA GeForce RTX 3090, 24 %, 13588 MiB, 24576 MiB, 66, 208.63 W
2026/09/15 18:51:18.794, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 337.13 W
2026/09/15 18:51:23.796, NVIDIA GeForce RTX 3090, 91 %, 13588 MiB, 24576 MiB, 71, 335.98 W
2026/09/15 18:51:28.799, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 333.96 W
2026/09/15 18:51:33.801, NVIDIA GeForce RTX 3090, 88 %, 13588 MiB, 24576 MiB, 70, 337.85 W
2026/09/15 18:51:38.847, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 65, 279.32 W
2026/09/15 18:51:43.849, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 332.80 W
2026/09/15 18:51:48.852, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 65, 201.75 W
2026/09/15 18:51:53.854, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 337.54 W
2026/09/15 18:51:58.856, NVIDIA GeForce RTX 3090, 92 %, 13588 MiB, 24576 MiB, 71, 334.74 W
2026/09/15 18:52:03.858, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 69, 294.81 W
2026/09/15 18:52:08.861, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 335.41 W
2026/09/15 18:52:13.863, NVIDIA GeForce RTX 3090, 92 %, 13588 MiB, 24576 MiB, 69, 265.95 W
2026/09/15 18:52:18.865, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 70, 334.39 W
2026/09/15 18:52:23.867, NVIDIA GeForce RTX 3090, 69 %, 13588 MiB, 24576 MiB, 65, 211.71 W
2026/09/15 18:52:28.869, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 70, 342.88 W
2026/09/15 18:52:33.870, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 71, 335.00 W
2026/09/15 18:52:38.873, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 260.30 W
2026/09/15 18:52:43.875, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 336.17 W
2026/09/15 18:52:48.877, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 69, 237.24 W
2026/09/15 18:52:53.878, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 61, 123.37 W
2026/09/15 18:52:58.890, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 121.19 W
2026/09/15 18:53:03.891, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 65, 333.09 W
2026/09/15 18:53:08.893, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 333.17 W
2026/09/15 18:53:13.894, NVIDIA GeForce RTX 3090, 16 %, 13588 MiB, 24576 MiB, 64, 193.60 W
