family,condition,metric,variant,reference,n_seeds,variant_mean,variant_sample_std,reference_mean,reference_sample_std,paired_difference_mean,paired_difference_sample_std,improved_seeds
representation,mean(6),shared_reference_D_cross,B3_POINT,H0,3,0.613303277590664,0.13980937717136255,0.6239510085844987,0.026125377718361164,-0.010647730993834703,0.15576166628063123,1
representation,mean(6),shared_reference_D_cross,REL,H0,3,0.8398201779523283,0.32305202160388924,0.6239510085844987,0.026125377718361164,0.21586916936782943,0.3274215259941409,1
representation,mean(6),shared_reference_D_cross,REL,B3_POINT,3,0.8398201779523283,0.32305202160388924,0.613303277590664,0.13980937717136255,0.22651690036166414,0.20694588784568493,0
task,A missing,Corr,H0,B3_POINT,3,0.5963784116076857,0.003305068447312606,0.6015288052592392,0.004656585118380988,-0.005150393651553564,0.0017492690059422282,3
task,A missing,Corr,B3_POINT,H0,3,0.6015288052592392,0.004656585118380988,0.5963784116076857,0.003305068447312606,0.005150393651553564,0.0017492690059422282,0
task,A missing,Corr,REL,H0,3,0.6004710405875872,0.006758895427728742,0.5963784116076857,0.003305068447312606,0.004092628979901554,0.0069850628275782084,1
task,A missing,Corr,REL,B3_POINT,3,0.6004710405875872,0.006758895427728742,0.6015288052592392,0.004656585118380988,-0.00105776467165201,0.006279242692687064,2
task,A missing,DeltaCorr,H0,B3_POINT,3,-0.0007241062801987738,0.007020424555911928,2.50171986146223e-05,0.008748081285317602,-0.000749123478813396,0.004907844610482999,2
task,A missing,DeltaCorr,B3_POINT,H0,3,2.50171986146223e-05,0.008748081285317602,-0.0007241062801987738,0.007020424555911928,0.000749123478813396,0.004907844610482999,1
task,A missing,DeltaCorr,REL,H0,3,0.002401359020423932,0.015594161423849829,-0.0007241062801987738,0.007020424555911928,0.003125465300622706,0.009896998499399607,1
task,A missing,DeltaCorr,REL,B3_POINT,3,0.002401359020423932,0.015594161423849829,2.50171986146223e-05,0.008748081285317602,0.00237634182180931,0.006983034527551792,2
task,A missing,DeltaMAE,H0,B3_POINT,3,-0.0014875442486597852,0.013591632811713482,-0.006347483385190311,0.0012454874521866054,0.004859939136530526,0.014822475321851264,1
task,A missing,DeltaMAE,B3_POINT,H0,3,-0.006347483385190311,0.0012454874521866054,-0.0014875442486597852,0.013591632811713482,-0.004859939136530526,0.014822475321851264,2
task,A missing,DeltaMAE,REL,H0,3,0.0016342177375979021,0.01084638593730033,-0.0014875442486597852,0.013591632811713482,0.0031217619862576873,0.005585769625072548,1
task,A missing,DeltaMAE,REL,B3_POINT,3,0.0016342177375979021,0.01084638593730033,-0.006347483385190311,0.0012454874521866054,0.007981701122788213,0.011917746985627527,1
task,A missing,MAE,H0,B3_POINT,3,0.6676265946319622,0.008992626816600196,0.6573596543987686,0.0015910922502350817,0.010266940233193522,0.00837948128962251,0
task,A missing,MAE,B3_POINT,H0,3,0.6573596543987686,0.0015910922502350817,0.6676265946319622,0.008992626816600196,-0.010266940233193522,0.00837948128962251,3
task,A missing,MAE,REL,H0,3,0.6582343378592028,0.0017396204571716346,0.6676265946319622,0.008992626816600196,-0.009392256772759308,0.010731576610101936,2
task,A missing,MAE,REL,B3_POINT,3,0.6582343378592028,0.0017396204571716346,0.6573596543987686,0.0015910922502350817,0.000874683460434215,0.002873324437839086,1
task,A+V missing,Corr,H0,B3_POINT,3,0.5890666883433343,0.005952218567083619,0.603198600495685,0.013829762729840838,-0.01413191215235062,0.018142087348833793,2
task,A+V missing,Corr,B3_POINT,H0,3,0.603198600495685,0.013829762729840838,0.5890666883433343,0.005952218567083619,0.01413191215235062,0.018142087348833793,1
task,A+V missing,Corr,REL,H0,3,0.5959119696351698,0.011383185946021728,0.5890666883433343,0.005952218567083619,0.006845281291835481,0.01623569989123854,1
task,A+V missing,Corr,REL,B3_POINT,3,0.5959119696351698,0.011383185946021728,0.603198600495685,0.013829762729840838,-0.007286630860515138,0.0030341704366012,3
