seed,variant,family,condition,metric,value
43,B3_POINT,representation,T+A missing,cosine_drift,0.21037985418922442
43,B3_POINT,representation,T+A missing,relational_drift_rms,0.3495057933119937
43,B3_POINT,representation,T+A missing,legacy_D_cross,0.8513661534863415
43,B3_POINT,representation,T+A missing,shared_reference_D_cross,0.8470575973012903
43,B3_POINT,representation,T+V missing,absolute_l2,8.255179924329662
43,B3_POINT,representation,T+V missing,cosine_drift,0.19686935234590827
43,B3_POINT,representation,T+V missing,relational_drift_rms,0.38393979408182793
43,B3_POINT,representation,T+V missing,legacy_D_cross,0.8601724333524756
43,B3_POINT,representation,T+V missing,shared_reference_D_cross,0.8558193107356616
43,B3_POINT,representation,A+V missing,absolute_l2,6.048978196636119
43,B3_POINT,representation,A+V missing,cosine_drift,0.10139326389757017
43,B3_POINT,representation,A+V missing,relational_drift_rms,0.23527244042303358
43,B3_POINT,representation,A+V missing,legacy_D_cross,0.630290840707396
43,B3_POINT,representation,A+V missing,shared_reference_D_cross,0.6271010926900589
43,B3_POINT,representation,mean(6),absolute_l2,6.167849667361501
43,B3_POINT,representation,mean(6),cosine_drift,0.12693952559065436
43,B3_POINT,representation,mean(6),relational_drift_rms,0.27087825344864364
43,B3_POINT,representation,mean(6),legacy_D_cross,0.6426769986309426
43,B3_POINT,representation,mean(6),shared_reference_D_cross,0.6394245672932598
43,REL,task,None,MAE,0.6591065700342242
43,REL,task,None,Corr,0.5995706787591503
43,REL,task,None,DeltaMAE,0.0
43,REL,task,None,DeltaCorr,0.0
43,REL,task,T missing,MAE,0.7988433249289943
43,REL,task,T missing,Corr,0.29308662781393174
43,REL,task,T missing,DeltaMAE,0.1397367548947701
43,REL,task,T missing,DeltaCorr,0.3064840509452185
43,REL,task,A missing,MAE,0.658488132356442
43,REL,task,A missing,Corr,0.6061188544284626
43,REL,task,A missing,DeltaMAE,-0.0006184376777822465
43,REL,task,A missing,DeltaCorr,-0.006548175669312317
43,REL,task,V missing,MAE,0.6565392867882858
43,REL,task,V missing,Corr,0.6029409579429915
43,REL,task,V missing,DeltaMAE,-0.0025672832459384676
43,REL,task,V missing,DeltaCorr,-0.0033702791838412516
43,REL,task,T+A missing,MAE,0.8058965605810596
43,REL,task,T+A missing,Corr,0.24835283094678492
43,REL,task,T+A missing,DeltaMAE,0.1467899905468354
43,REL,task,T+A missing,DeltaCorr,0.3512178478123653
43,REL,task,T+V missing,MAE,0.8152504100330092
43,REL,task,T+V missing,Corr,0.24421534538745682
43,REL,task,T+V missing,DeltaMAE,0.156143839998785
43,REL,task,T+V missing,DeltaCorr,0.35535533337169345
43,REL,task,A+V missing,MAE,0.6559185004958993
43,REL,task,A+V missing,Corr,0.6037097181571678
43,REL,task,A+V missing,DeltaMAE,-0.0031880695383249558
43,REL,task,A+V missing,DeltaCorr,-0.004139039398017519
43,REL,task,missAvg,MAE,0.7318227025306151
43,REL,task,missAvg,Corr,0.43307072244613254
43,REL,task,missAvg,DeltaMAE,0.0727161324963908
43,REL,task,missAvg,DeltaCorr,0.1664999563130177
43,REL,representation,T missing,absolute_l2,8.371984871059617
43,REL,representation,T missing,cosine_drift,0.12773191806795997
43,REL,representation,T missing,relational_drift_rms,0.20689888331664685
43,REL,representation,T missing,legacy_D_cross,0.7262811634196195
43,REL,representation,T missing,shared_reference_D_cross,0.8679285475926721
43,REL,representation,A missing,absolute_l2,3.9267802008530635
43,REL,representation,A missing,cosine_drift,0.04584903372800568
43,REL,representation,A missing,relational_drift_rms,0.09014695952072051
43,REL,representation,A missing,legacy_D_cross,0.3406535650377648
43,REL,representation,A missing,shared_reference_D_cross,0.40709159045705484
43,REL,representation,V missing,absolute_l2,4.412498706975344
43,REL,representation,V missing,cosine_drift,0.042074706906389966
43,REL,representation,V missing,relational_drift_rms,0.1096634089786792
43,REL,representation,V missing,legacy_D_cross,0.38279031124001645
43,REL,representation,V missing,shared_reference_D_cross,0.45744631087883664
43,REL,representation,T+A missing,absolute_l2,9.499635830265419
43,REL,representation,T+A missing,cosine_drift,0.17383419804301728
43,REL,representation,T+A missing,relational_drift_rms,0.2278623908356552
43,REL,representation,T+A missing,legacy_D_cross,0.8241064298524746
43,REL,representation,T+A missing,shared_reference_D_cross,0.9848327792998063
43,REL,representation,T+V missing,absolute_l2,9.847050242333884
43,REL,representation,T+V missing,cosine_drift,0.17362426590303864
43,REL,representation,T+V missing,relational_drift_rms,0.24058403674228312
43,REL,representation,T+V missing,legacy_D_cross,0.8542451063159323
43,REL,representation,T+V missing,shared_reference_D_cross,1.0208494337399834
43,REL,representation,A+V missing,absolute_l2,6.291938834795793
43,REL,representation,A+V missing,cosine_drift,0.08106701021996474
43,REL,representation,A+V missing,relational_drift_rms,0.14535202121394838
43,REL,representation,A+V missing,legacy_D_cross,0.545834318561328
43,REL,representation,A+V missing,shared_reference_D_cross,0.6522889635531636
43,REL,representation,mean(6),absolute_l2,7.058314781047187
43,REL,representation,mean(6),cosine_drift,0.10736352214472938
43,REL,representation,mean(6),relational_drift_rms,0.1700846167679889
43,REL,representation,mean(6),legacy_D_cross,0.6123184824045226
43,REL,representation,mean(6),shared_reference_D_cross,0.7317396042535863
44,H0,task,None,MAE,0.6756510467288785
44,H0,task,None,Corr,0.5926242016809362
44,H0,task,None,DeltaMAE,0.0
44,H0,task,None,DeltaCorr,0.0
44,H0,task,T missing,MAE,0.8000883223673868
44,H0,task,T missing,Corr,0.28507922037025313
44,H0,task,T missing,DeltaMAE,0.12443727563850826
44,H0,task,T missing,DeltaCorr,0.3075449813106831
44,H0,task,A missing,MAE,0.659175130285703
44,H0,task,A missing,Corr,0.6001873772945614
44,H0,task,A missing,DeltaMAE,-0.016475916443175587
44,H0,task,A missing,DeltaCorr,-0.007563175613625184
44,H0,task,V missing,MAE,0.6841139438975905
44,H0,task,V missing,Corr,0.5795650712471067
44,H0,task,V missing,DeltaMAE,0.008462897168711958
44,H0,task,V missing,DeltaCorr,0.013059130433829558
44,H0,task,T+A missing,MAE,0.8075154439303258
44,H0,task,T+A missing,Corr,0.24465145718056475
44,H0,task,T+A missing,DeltaMAE,0.13186439720144727
44,H0,task,T+A missing,DeltaCorr,0.34797274450037147
44,H0,task,T+V missing,MAE,0.8173270884001855
44,H0,task,T+V missing,Corr,0.21791661011982263
44,H0,task,T+V missing,DeltaMAE,0.14167604167130698
44,H0,task,T+V missing,DeltaCorr,0.37470759156111355
44,H0,task,A+V missing,MAE,0.6686190478439517
44,H0,task,A+V missing,Corr,0.5827433231017949
44,H0,task,A+V missing,DeltaMAE,-0.007031998884926893
